contTimeList;contTempListCel;contEpsList;Power1;Power2;Power3;Power4;LuminanceSample1;LuminanceSample2;LuminanceSample3;LuminanceSample4;LuminanceFit1;LuminanceFit2;LuminanceFit3;LuminanceFit4;Residuals1;Residuals2;Residuals3;Residuals4;Residuals(%)1;Residuals(%)2;Residuals(%)3;Residuals(%)4
1.118713140487671;1157.1486465201538;0.20000000000001;6.166589854191992e-08;6.309918093665952e-08;7.968124167925884e-09;5.3254780844235024e-08;3764.949580542527;6431.115190225205;2624.8815917895245;13187.20129884843;1403.0;2190.0;4049.0;4392.0;2362.0;4241.0;-1424.0;8795.0;168.364;193.668;-35.167;200.232
2.484888553619384;871.8619372075663;0.9998999999999971;1.044417359945881e-08;1.959210245274539e-08;1.869631406375962e-08;6.660208370961867e-08;502.921912053095;1996.4790308111417;5219.455057667673;15495.815730318;674.0;1356.0;4013.0;4799.0;-171.0;640.7;1207.0;10700.0;-25.378;47.259;30.068;222.891
3.87235426902771;1076.3571927668972;0.9492950252712301;6.722788459649639e-08;5.614181519822868e-08;5.902747660082966e-08;6.568000473741438e-08;4143.73157017361;5728.194483108605;12733.42407994584;15340.951056168651;3793.0;6292.0;13020.0;14460.0;351.0;-564.1;-290.3;878.1;9.254;-8.965;-2.229;6.071
5.253173828125;736.1688787348992;0.9998999999999031;3.276049214869575e-09;3.438892993597508e-08;4.32509654020203e-08;5.977061879093192e-08;116.8560076816767;3517.184168057237;10024.416534673304;14332.932833544071;139.0;331.7;1349.0;1723.0;-22.12;3185.0;8675.0;12610.0;-15.919;960.27;643.072;731.697
6.670401573181152;1261.0512291239652;0.20000000000001703;6.322742516990862e-08;3.483246737458063e-08;1.793000822108608e-08;2.545837395144374e-08;3870.963331503989;3562.5136782475015;5050.040302305186;7711.844859257857;2652.0;3864.0;6289.0;6645.0;1219.0;-301.7;-1239.0;1067.0;45.961;-7.808;-19.697;16.05
8.079490423202515;932.6196867868306;0.999899999999955;1.8622525890004148e-08;3.353125269653916e-08;2.422389601956335e-08;2.650124124019539e-08;981.7721119502642;3429.4941926348647;6394.9832583391335;7941.977493311352;1218.0;2298.0;6039.0;7046.0;-236.2;1132.0;356.5;896.4;-19.393;49.239;5.9030000000000005;12.723
9.491551399230957;1168.3938462816914;0.2;6.378348487817933e-08;2.1872756585228558e-08;9.937278862043952e-09;6.462297311127283e-08;3908.777908343495;2232.1323100229547;3147.9496782543383;15162.642555837483;1510.0;2338.0;4259.0;4607.0;2399.0;-105.8;-1111.0;10560.0;158.913;-4.526;-26.092;229.138
10.91186785697937;802.3699061332569;0.9998999999999991;6.105302497626833e-08;5.680076678499269e-09;6.74919290943479e-08;3.577525321337932e-08;3723.413264053665;541.4676911502787;14111.866266307456;9885.041582353972;315.6;689.2;2376.0;2933.0;3408.0;-147.7;11740.0;6952.0;1079.904;-21.434;493.844;236.98
12.336781978607178;1227.3487344976716;0.2;5.299040070527031e-08;4.353056232736261e-08;6.902968598846079e-08;9.767363843871498e-09;3180.9867958540485;4449.162029783491;14357.630648099774;3769.9188882453423;2178.0;3242.0;5488.0;5846.0;1003.0;1207.0;8870.0;-2077.0;46.046;37.238;161.618;-35.518
13.829904794692993;1005.537349274825;0.2;2.844893618238456e-08;4.031363043676738e-08;3.212257904599863e-08;3.0245279491398243e-09;1586.4805644772089;4121.72348359053;7965.175017854984;1431.2868482600143;460.2;810.4;1874.0;2129.0;1126.0;3311.0;6091.0;-698.1;244.772;408.597;325.033;-32.784
15.261160135269165;796.3308187222314;0.9998999999976331;5.659621906992833e-09;6.733182440572727e-08;7.801825518939203e-09;3.824822721845175e-08;239.69011635116846;6857.939675843917;2579.238825473115;10376.914743449164;294.1;647.1;2263.0;2802.0;-54.37;6211.0;315.9;7575.0;-18.489;959.728;13.959;270.325
16.742557048797607;1119.731949213386;0.2;6.073941563918411e-08;1.4472268779910541e-08;8.82935599136371e-09;3.452370967190568e-08;3702.1749666034743;1465.167903279658;2857.387814767824;9632.333356142355;1090.0;1748.0;3400.0;3728.0;2612.0;-283.1;-542.8;5905.0;239.711;-16.194;-15.963;158.41
18.210412740707397;825.7694936631475;0.9998999999999991;4.744114451283471e-08;6.604115014320411e-09;2.010336798515271e-08;1.578820577347048e-08;2812.3260217438374;639.571815421363;5526.079136758784;5418.583101633964;411.8;873.8;2856.0;3486.0;2401.0;-234.3;2670.0;1932.0;582.893;-26.809;93.498;55.421
